Date_Time,Test_Time(s),Step_Time(s),Step_Index,Voltage(V),Current(A),Surface_Temp(degC)
2019-09-05 02:00:59.275,11679.538768,1931.001,5,3.124584436416626,-2.5003581047058105,25.50714874267578
2019-09-05 02:01:00.274,11680.538368,1932.0006,5,3.1243553161621094,-2.500361919403076,25.474587837187183
2019-09-05 02:01:01.274,11681.538068,1933.0003,5,3.1246514320373535,-2.500368595123291,25.474584579467773
2019-09-05 02:01:02.274,11682.538268,1934.0005,5,3.124539375305176,-2.500354290008545,25.49410057067871
2019-09-05 02:01:03.274,11683.538368,1935.0006,5,3.1243059635162354,-2.500365734100342,25.49410057067871
2019-09-05 02:01:04.274,11684.537868,1936.0001,5,3.12422776222229,-2.500352382659912,25.49410057067871
2019-09-05 02:01:05.274,11685.538568,1937.0008,5,3.1242547035217285,-2.500363826751709,25.500944137573242
2019-09-05 02:01:06.275,11686.539168,1938.0014,5,3.1241304874420166,-2.500366687774658,25.500944137573242
2019-09-05 02:01:07.275,11687.538967999999,1939.0012,5,3.124211311340332,-2.5003600120544434,25.500944137573242
2019-09-05 02:01:08.275,11688.538967999999,1940.0012,5,3.1241209506988525,-2.50039005279541,25.478615132680762
2019-09-05 02:01:09.274,11689.538568,1941.0008,5,3.1240975856781006,-2.5003695487976074,25.478612899780273
2019-09-05 02:01:10.274,11690.538268,1942.0005,5,3.1240134239196777,-2.5003814697265625,25.478612899780273
2019-09-05 02:01:11.275,11691.539068,1943.0013,5,3.1240193843841553,-2.500370502471924,25.48574948527618
2019-09-05 02:01:12.275,11692.538967999999,1944.0012,5,3.124004602432251,-2.5003418922424316,25.485750198364258
2019-09-05 02:01:13.275,11693.538768,1945.001,5,3.1239013671875,-2.500357151031494,25.485750198364258
2019-09-05 02:01:14.274,11694.537967999999,1946.0002,5,3.1238796710968018,-2.500337600708008,25.48293685913086
2019-09-05 02:01:15.275,11695.538967999999,1947.0012,5,3.1240108013153076,-2.500380516052246,25.48293685913086
2019-09-05 02:01:16.275,11696.538668,1948.0009,5,3.1238648891448975,-2.5003881454467773,25.48293685913086
2019-09-05 02:01:17.275,11697.538768,1949.001,5,3.1237235069274902,-2.500375747680664,25.454779579643965
2019-09-05 02:01:18.275,11698.538668,1950.0009,5,3.1237192153930664,-2.5003833770751953,25.454776763916016
2019-09-05 02:01:19.274,11699.538068,1951.0003,5,3.123732089996338,-2.500352382659912,25.517385482788086
2019-09-05 02:01:20.274,11700.538168,1952.0004,5,3.1236565113067627,-2.500357151031494,25.517385482788086
2019-09-05 02:01:21.274,11701.538168,1953.0004,5,3.123627185821533,-2.5003609657287598,25.517385482788086
2019-09-05 02:01:22.274,11702.537967999999,1954.0002,5,3.12353777885437,-2.5003795623779297,25.456001699298653
2019-09-05 02:01:23.274,11703.537967999999,1955.0002,5,3.123588800430298,-2.500361919403076,25.455995559692383
